ts,p,r,s
0,true,false,false
1,false,false,false
2,false,true,true
3,false,false,true
4,false,false,true
5,false,false,false
6,false,false,false
7,false,false,false
8,true,false,false
9,false,false,false
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
16,,,
17,,,
18,,,
19,,,
20,false,false,false
21,false,false,false
22,false,false,false
23,false,false,false
24,false,false,false
25,false,false,false
26,false,false,false
27,true,false,false
28,false,true,true
29,false,false,true
30,,,
31,,,
32,,,
33,,,
34,,,
35,,,
36,,,
37,,,
38,,,
39,,,
40,false,false,false
41,false,false,false
42,false,false,false
43,false,false,false
44,false,false,false
45,false,false,false
46,false,false,false
47,false,false,false
48,false,false,false
49,false,false,false
50,,,
51,,,
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,false,false,false
61,false,false,false
62,false,false,false
63,false,false,false
64,false,false,false
65,false,false,false
66,false,false,false
67,false,false,false
68,false,false,false
69,false,false,false
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,false,false,false
81,false,false,false
82,false,false,false
83,false,false,false
84,false,false,false
85,false,false,false
86,false,false,false
87,false,false,false
88,false,false,false
89,true,false,false
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,false,false,false
101,false,false,false
102,false,false,false
103,false,false,false
104,false,false,false
105,false,false,false
106,false,false,false
107,false,false,false
108,false,false,false
109,false,false,false
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,false,false,false
121,false,false,false
122,true,false,false
123,false,false,false
124,false,true,true
125,false,false,true
126,false,false,true
127,false,false,false
128,false,false,false
129,false,false,false
130,,,
131,,,
132,,,
133,,,
134,,,
135,,,
136,,,
137,,,
138,,,
139,,,
140,false,false,false
141,false,false,false
142,false,false,false
143,false,false,false
144,false,false,false
145,false,false,false
146,true,false,false
147,false,true,true
148,false,false,true
149,false,false,true
150,,,
151,,,
152,,,
153,,,
154,,,
155,,,
156,,,
157,,,
158,,,
159,,,
160,false,false,false
161,false,false,false
162,false,false,false
163,true,false,false
164,false,true,true
165,false,false,true
166,false,false,true
167,false,false,false
168,false,false,false
169,false,false,false
170,,,
171,,,
172,,,
173,,,
174,,,
175,,,
176,,,
177,,,
178,,,
179,,,
180,false,false,false
181,true,false,false
182,false,false,false
183,false,true,true
184,false,false,true
185,false,false,true
186,false,false,false
187,false,false,false
188,true,false,false
189,false,true,true
190,,,
191,,,
192,,,
193,,,
194,,,
195,,,
196,,,
197,,,
198,,,
199,,,
200,false,false,false
201,false,false,false
202,true,false,false
203,false,false,false
204,false,false,false
205,false,true,true
206,false,false,true
207,false,false,true
208,false,false,false
209,false,false,false
210,,,
211,,,
212,,,
213,,,
214,,,
215,,,
216,,,
217,,,
218,,,
219,,,
220,false,false,true
221,false,false,false
222,false,false,false
223,false,false,false
224,false,false,false
225,false,false,false
226,false,false,false
227,false,false,false
228,false,false,false
229,false,false,false
230,,,
231,,,
232,,,
233,,,
234,,,
235,,,
236,,,
237,,,
238,,,
239,,,
240,false,false,false
241,false,false,false
242,false,false,false
243,false,false,false
244,true,false,false
245,false,false,false
246,false,false,false
247,false,true,true
248,false,false,true
249,false,false,true
250,,,
251,,,
252,,,
253,,,
254,,,
255,,,
256,,,
257,,,
258,,,
259,,,
260,false,false,false
261,false,false,false
262,false,false,false
263,false,false,false
264,false,false,false
265,false,false,false
266,false,false,false
